firstName,lastName,apiVersion,script,id,firstName,lastName,likelyGender,genderScale,score,probabilityCalibrated
first_name,last_name,namsor_api_2.0.25,LATIN,807f1dda-cb3a-4e6c-a81a-6948e026c03d,first_name,last_name,female,0.32572012775549464,1.4555073887166543,0.6628600638777473
Brafirk,Unprive,namsor_api_2.0.25,LATIN,f1a74ec6-5925-4f1b-a323-7c79d2fc8731,Brafirk,Unprive,female,0.004836661301588885,0.04116288590561369,0.5024183306507944
Keidhma,Subateful,namsor_api_2.0.25,LATIN,f3c3fecd-eee3-4027-a8c0-455e1712eb0b,Keidhma,Subateful,female,0.3689406864155349,1.7052056314291804,0.6844703432077675
Franda,Vales,namsor_api_2.0.25,LATIN,614421e2-b5f4-4d97-a7f6-20f0965ecf3b,Franda,Vales,female,0.9642738621088232,7.868540399032291,0.9821369310544116
Jeanie,Loway,namsor_api_2.0.25,LATIN,75ea6f8b-c272-4151-94b7-b8e97a4ecd55,Jeanie,Loway,female,0.9830541347692074,9.213851102124082,0.9915270673846037
Jacque,Andley,namsor_api_2.0.25,LATIN,423eb0ed-55f5-4fd9-af42-617e5bc40cd7,Jacque,Andley,male,-0.12799990563110364,0.5270359145002886,0.5639999528155518
Thew,Strony,namsor_api_2.0.25,LATIN,41b59909-4f9b-4398-8a43-1d6185b8f869,Thew,Strony,male,-0.8074669528763416,5.173227940202359,0.9037334764381708
Stelle,Lowelliott,namsor_api_2.0.25,LATIN,4af99842-37b5-4e28-837c-adf4f5c46f75,Stelle,Lowelliott,female,0.9864045039367244,9.434156102462154,0.9932022519683622
Samany,Moodsey,namsor_api_2.0.25,LATIN,54812f17-0165-4504-aee3-e6c6c30e2636,Samany,Moodsey,female,0.2439169609625822,1.0663508645419808,0.6219584804812911
Gerte,Baxterson,namsor_api_2.0.25,LATIN,d1d0db25-bbde-4289-9cd8-95c08e311f3c,Gerte,Baxterson,female,0.933824151903679,7.208504444964042,0.9669120759518395
Hocorz,Prity,namsor_api_2.0.25,LATIN,0867af81-e418-47fa-91cc-35f56a84406c,Hocorz,Prity,male,-0.2345567113773197,1.0265295766960987,0.6172783556886599
Timyra,Romason,namsor_api_2.0.25,LATIN,540a21e2-7403-4281-8e0c-f8c60fce76a9,Timyra,Romason,female,0.9957916171877519,10.606871422711698,0.9978958085938759
Avijava,Ellcefulve,namsor_api_2.0.25,LATIN,76a768b8-1002-4f29-9cda-924d8302b7b1,Avijava,Ellcefulve,female,0.7193693726516202,4.377512151588654,0.8596846863258101
Nadie,Waltonnedy,namsor_api_2.0.25,LATIN,7bde4b85-fc4a-4605-a601-394e521fb2e6,Nadie,Waltonnedy,female,0.9885967557155457,9.610009658387028,0.9942983778577729
Masal,Monie,namsor_api_2.0.25,LATIN,fbbf5be1-4321-4326-bfc2-341dd20de5f1,Masal,Monie,female,0.9660545390106074,7.925035753845201,0.9830272695053037
Kennie,Portananney,namsor_api_2.0.25,LATIN,ee0f8dcf-ce45-45e0-ad9a-c77babf33e57,Kennie,Portananney,male,-0.49315924213890194,2.3455837983181667,0.746579621069451
Flams,Nan,namsor_api_2.0.25,LATIN,0c0e293b-989c-4378-b765-fa51d4956ddd,Flams,Nan,male,-0.30679641111259404,1.357534357693325,0.653398205556297
Tares,Hoorherve,namsor_api_2.0.25,LATIN,dd640cf7-6528-4b0c-8d3e-28938084fb1e,Tares,Hoorherve,male,-0.8629901293305955,5.893328557609223,0.9314950646652977
Acrabik,Hoorherve,namsor_api_2.0.25,LATIN,dca7eb14-b04c-49ff-8bc8-68eba68e8224,Acrabik,Hoorherve,female,0.004855402001390674,0.04907583061132928,0.5024277010006953
Krabius,Hoorherve,namsor_api_2.0.25,LATIN,47c851a9-919f-49f5-a93c-56f81c2d0b87,Krabius,Hoorherve,male,-0.004908714852586371,0.0715955215921227,0.5024543574262932
