firstName,lastName,apiVersion,script,id,firstName,lastName,likelyGender,genderScale,score,probabilityCalibrated
first_name,last_name,namsor_api_2.0.25,LATIN,f14e01e6-192e-4d3c-b0d8-0e0be404df9d,first_name,last_name,female,0.32572012775549464,1.4555073887166543,0.6628600638777473
Maham,Ofracculy,namsor_api_2.0.25,LATIN,fba9a6c9-be72-4d11-893a-82cacc29f95c,Maham,Ofracculy,female,0.9716968927826597,8.158853502521843,0.9858484463913298
Juanna,Vines,namsor_api_2.0.25,LATIN,b89f702d-f89d-4e3e-bdae-d51edfb662f5,Juanna,Vines,female,0.9982862994775503,11.505309454624104,0.9991431497387752
Altark,Susent,namsor_api_2.0.25,LATIN,026a15b2-5c5f-400d-b49a-4ae84f141573,Altark,Susent,male,-0.3293769503692099,1.4751379881769253,0.6646884751846049
Solam,Susent,namsor_api_2.0.25,LATIN,5185a1f7-ef27-44e2-8e8d-b255a8e5e432,Solam,Susent,male,-0.781928423913326,4.8725264188882065,0.890964211956663
Willy,Santantines,namsor_api_2.0.25,LATIN,544f1115-80ee-4822-bf92-aedff0f3e3ae,Willy,Santantines,male,-0.6785418284224347,4.007839555814336,0.8392709142112174
Sandie,Hinetthews,namsor_api_2.0.25,LATIN,72db8bde-24e5-4f8a-a1e1-5a5286b1122c,Sandie,Hinetthews,female,0.9957763760054883,10.603256250891711,0.9978881880027441
Billex,Jacostaffey,namsor_api_2.0.25,LATIN,e01eb999-e419-459f-bcdc-44b2694895c8,Billex,Jacostaffey,male,-0.5732832747157635,2.7995405243704994,0.7866416373578817
Candra,Jacostaffey,namsor_api_2.0.25,LATIN,132ea397-f484-4bf1-b789-a56e919245c6,Candra,Jacostaffey,female,0.9980819286013551,11.392643132163656,0.9990409643006776
Andona,Beston,namsor_api_2.0.25,LATIN,464c07ab-7a3b-4bed-b8f5-b0bfedbde78b,Andona,Beston,female,0.5358230995889586,2.565277329738251,0.7679115497944793
Erraiam,Flatic,namsor_api_2.0.25,LATIN,dbf02f3b-95a8-4b6f-9f07-3f01c7cd7809,Erraiam,Flatic,male,-0.4956860618456622,2.357528963670937,0.7478430309228311
Altardr,Flatic,namsor_api_2.0.25,LATIN,b9c28a20-225a-464e-89ce-9aeb8928c4cb,Altardr,Flatic,male,-0.39265257635710205,1.862753987950775,0.696326288178551
Wezena,Flatic,namsor_api_2.0.25,LATIN,d65b9bc4-d39a-4566-9355-ffad2cc063db,Wezena,Flatic,female,0.3170374944788663,1.4098310383751664,0.6585187472394332
Berers,Barne,namsor_api_2.0.25,LATIN,f384980e-4cc8-429c-9b95-6bd04c045c25,Berers,Barne,male,-0.3904065768995839,1.8470438979817985,0.695203288449792
Reney,Baketton,namsor_api_2.0.25,LATIN,b574ab9e-161b-4e26-8067-119bcab8cba1,Reney,Baketton,male,-0.6976768530017681,4.249757706333206,0.848838426500884
Elle,Bertsontry,namsor_api_2.0.25,LATIN,09b2d4cc-2909-4941-b193-711392bc8a91,Elle,Bertsontry,female,0.9970179002484725,10.951329410048942,0.9985089501242362
